2019/08/11 13:12:32 [error] 24618#24618: *4604 readv() failed (104: Connection reset by peer) while reading upstream, client: 154.101.224.27, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:24:22 [error] 24618#24618: *4866 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.92.49, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:27:32 [error] 24618#24618: *4938 readv() failed (104: Connection reset by peer) while reading upstream, client: 41.210.147.119, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:30:46 [error] 24618#24618: *5015 readv() failed (104: Connection reset by peer) while reading upstream, client: 95.212.156.254, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:31:38 [error] 24618#24618: *5052 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.139.34, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:34:22 [error] 24618#24618: *5105 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.181.204, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:36:40 [error] 24618#24618: *5155 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.133.82.49, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:40:14 [error] 24618#24618: *5223 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.247.74.175, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:40:29 [error] 24618#24618: *5230 readv() failed (104: Connection reset by peer) while reading upstream, client: 157.41.194.67, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 13:41:03 [error] 24618#24618: *5242 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.57.130.152, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
